name,link,price,num
Звукоизоляционная лента Вибростек-М 30000х100х4 мм,https://glavsnab.net/vibrostek-m-lentochnaya-zvukoizolyatsionnaya-prokladka.html,2342.0000,73583
Штукатурка гипсовая универсальная Knauf Ротбанд серая 30 кг,https://glavsnab.net/shtukaturka-gipsovaya-universalnaya-knauf-rotband-seraya-30-kg.html,525.0000,69103
Профиль потолочный Knauf ПП 60х27 мм 3000 мм,https://glavsnab.net/profil-potolochnyy-knauf-pp-60kh27-mm-3000-mm.html,273.0000,51422
"Гипсокартон ГКЛ Knauf ГСП-Н2 влагостойкий 2500х1200х12,5 мм",https://glavsnab.net/gipsokarton-gkl-knauf-vlagostoykiy-2500h1200h12-5-mm.html,488.0000,129723
"Саморез по металлу 3,5х25 мм для гипсокартона 1000 шт",https://glavsnab.net/samorezy-gm-3-5-25-1000-sht.html,255.0000,55026
Шпатлевка универсальная Danogips (Sheetrock/Шитрок) SuperFinish 17 л,https://glavsnab.net/shpatlevka-universalnaya-danogips-sheetrock-superfinish-17-l.html,2300.0000,68836
Профиль направляющий Knauf ПН-2 50х40 мм 3000 мм,https://glavsnab.net/profil-pn-2-50-40-3-m-tigi-knauf-8sht-20-up.html,349.0000,51394
"Гипсокартон ГКЛ Knauf ГСП-А 2500х1200х12,5 мм",https://glavsnab.net/gipsokarton-gkl-knauf-2500h1200h12-5-mm.html,371.0000,129727
Профиль маячковый 6 мм 3000 мм,https://glavsnab.net/profil-mayachkovyy-6-mm-3000-mm.html,42.0000,51377
Профиль стоечный Knauf ПС-2 50х50 мм 3000 мм,https://glavsnab.net/profil-stoechniy-knauf-ps-2-50h50-mm-3000-mm.html,340.0000,51461
"Гипсокартон ГКЛ Knauf ГСП-Н2 влагостойкий 2500х1200х9,5 мм",https://glavsnab.net/gipsokarton-gkl-knauf-vlagostoykiy-2500h1200h9-5-mm.html,482.0000,129726
"Пленка пароизоляционная Изоспан B 1,6х43,75 м",https://glavsnab.net/plenka-paroizolyacionnaya-izospan-b-1-6h43-75-m.html,2600.0000,18594
Клей для плитки Unis Плюс 25 кг,https://glavsnab.net/kley-dlya-plitki-yunis-plyus-25-kg.html,499.0000,25967
Дюбель-гвоздь 6х40 мм с грибовидным бортиком,https://glavsnab.net/djubel-gvozd-6-40-200-sht-bort.html,211.0000,17253
Клей гипсовый монтажный Кнауф Перлфикс 30 кг,https://glavsnab.net/kley-gipsovyy-montazhnyy-knauf-perlfiks-30-kg.html,530.0000,25994
Клейкая лента металлизированная Изоспан FL 5х5000 см,https://glavsnab.net/kleykaya-lenta-metallizirovannaya-izospan-fl-5h5000-sm.html,257.0000,18603
Мешок плетеный для ремонтных работ,https://glavsnab.net/meshki-pletenye-dlja-remontnyh-rabot-zelenye.html,15.0000,38504
Мастика влагостойкая Knauf Флэхендихт 5 кг,https://glavsnab.net/mastika-vlagostoykaya-knauf-flehendiht-5-kg.html,1930.0000,37262
Профиль маячковый 10 мм 3000 мм,https://glavsnab.net/profil-mayachkovyy-10-mm-3000-mm.html,54.0000,51379
Соединитель одноуровневый Knauf для ПП-профилей 60х27 148x56x20 мм,https://glavsnab.net/soedinitel-odnourovneviy-knauf-dlya-pp-profiley-60h27-148x56x20-mm.html,36.0000,105382
Звукоизоляционная лента Вибростек-М 30000х100х4 мм,https://glavsnab.net/vibrostek-m-lentochnaya-zvukoizolyatsionnaya-prokladka.html,2342.0000,73583
Штукатурка гипсовая универсальная Knauf Ротбанд серая 30 кг,https://glavsnab.net/shtukaturka-gipsovaya-universalnaya-knauf-rotband-seraya-30-kg.html,525.0000,69103
Профиль потолочный Knauf ПП 60х27 мм 3000 мм,https://glavsnab.net/profil-potolochnyy-knauf-pp-60kh27-mm-3000-mm.html,273.0000,51422
"Гипсокартон ГКЛ Knauf ГСП-Н2 влагостойкий 2500х1200х12,5 мм",https://glavsnab.net/gipsokarton-gkl-knauf-vlagostoykiy-2500h1200h12-5-mm.html,488.0000,129723
"Саморез по металлу 3,5х25 мм для гипсокартона 1000 шт",https://glavsnab.net/samorezy-gm-3-5-25-1000-sht.html,255.0000,55026
Шпатлевка универсальная Danogips (Sheetrock/Шитрок) SuperFinish 17 л,https://glavsnab.net/shpatlevka-universalnaya-danogips-sheetrock-superfinish-17-l.html,2300.0000,68836
Профиль направляющий Knauf ПН-2 50х40 мм 3000 мм,https://glavsnab.net/profil-pn-2-50-40-3-m-tigi-knauf-8sht-20-up.html,349.0000,51394
"Гипсокартон ГКЛ Knauf ГСП-А 2500х1200х12,5 мм",https://glavsnab.net/gipsokarton-gkl-knauf-2500h1200h12-5-mm.html,371.0000,129727
Профиль маячковый 6 мм 3000 мм,https://glavsnab.net/profil-mayachkovyy-6-mm-3000-mm.html,42.0000,51377
Профиль стоечный Knauf ПС-2 50х50 мм 3000 мм,https://glavsnab.net/profil-stoechniy-knauf-ps-2-50h50-mm-3000-mm.html,340.0000,51461
"Гипсокартон ГКЛ Knauf ГСП-Н2 влагостойкий 2500х1200х9,5 мм",https://glavsnab.net/gipsokarton-gkl-knauf-vlagostoykiy-2500h1200h9-5-mm.html,482.0000,129726
"Пленка пароизоляционная Изоспан B 1,6х43,75 м",https://glavsnab.net/plenka-paroizolyacionnaya-izospan-b-1-6h43-75-m.html,2600.0000,18594
Клей для плитки Unis Плюс 25 кг,https://glavsnab.net/kley-dlya-plitki-yunis-plyus-25-kg.html,499.0000,25967
Дюбель-гвоздь 6х40 мм с грибовидным бортиком,https://glavsnab.net/djubel-gvozd-6-40-200-sht-bort.html,211.0000,17253
Клей гипсовый монтажный Кнауф Перлфикс 30 кг,https://glavsnab.net/kley-gipsovyy-montazhnyy-knauf-perlfiks-30-kg.html,530.0000,25994
Клейкая лента металлизированная Изоспан FL 5х5000 см,https://glavsnab.net/kleykaya-lenta-metallizirovannaya-izospan-fl-5h5000-sm.html,257.0000,18603
Мешок плетеный для ремонтных работ,https://glavsnab.net/meshki-pletenye-dlja-remontnyh-rabot-zelenye.html,15.0000,38504
Мастика влагостойкая Knauf Флэхендихт 5 кг,https://glavsnab.net/mastika-vlagostoykaya-knauf-flehendiht-5-kg.html,1930.0000,37262
Профиль маячковый 10 мм 3000 мм,https://glavsnab.net/profil-mayachkovyy-10-mm-3000-mm.html,54.0000,51379
Соединитель одноуровневый Knauf для ПП-профилей 60х27 148x56x20 мм,https://glavsnab.net/soedinitel-odnourovneviy-knauf-dlya-pp-profiley-60h27-148x56x20-mm.html,36.0000,105382
Звукоизоляционная лента Вибростек-М 30000х100х4 мм,https://glavsnab.net/vibrostek-m-lentochnaya-zvukoizolyatsionnaya-prokladka.html,2342.0000,73583
Штукатурка гипсовая универсальная Knauf Ротбанд серая 30 кг,https://glavsnab.net/shtukaturka-gipsovaya-universalnaya-knauf-rotband-seraya-30-kg.html,525.0000,69103
Профиль потолочный Knauf ПП 60х27 мм 3000 мм,https://glavsnab.net/profil-potolochnyy-knauf-pp-60kh27-mm-3000-mm.html,273.0000,51422
"Гипсокартон ГКЛ Knauf ГСП-Н2 влагостойкий 2500х1200х12,5 мм",https://glavsnab.net/gipsokarton-gkl-knauf-vlagostoykiy-2500h1200h12-5-mm.html,488.0000,129723
"Саморез по металлу 3,5х25 мм для гипсокартона 1000 шт",https://glavsnab.net/samorezy-gm-3-5-25-1000-sht.html,255.0000,55026
Шпатлевка универсальная Danogips (Sheetrock/Шитрок) SuperFinish 17 л,https://glavsnab.net/shpatlevka-universalnaya-danogips-sheetrock-superfinish-17-l.html,2300.0000,68836
Профиль направляющий Knauf ПН-2 50х40 мм 3000 мм,https://glavsnab.net/profil-pn-2-50-40-3-m-tigi-knauf-8sht-20-up.html,349.0000,51394
"Гипсокартон ГКЛ Knauf ГСП-А 2500х1200х12,5 мм",https://glavsnab.net/gipsokarton-gkl-knauf-2500h1200h12-5-mm.html,371.0000,129727
Профиль маячковый 6 мм 3000 мм,https://glavsnab.net/profil-mayachkovyy-6-mm-3000-mm.html,42.0000,51377
Профиль стоечный Knauf ПС-2 50х50 мм 3000 мм,https://glavsnab.net/profil-stoechniy-knauf-ps-2-50h50-mm-3000-mm.html,340.0000,51461
"Гипсокартон ГКЛ Knauf ГСП-Н2 влагостойкий 2500х1200х9,5 мм",https://glavsnab.net/gipsokarton-gkl-knauf-vlagostoykiy-2500h1200h9-5-mm.html,482.0000,129726
"Пленка пароизоляционная Изоспан B 1,6х43,75 м",https://glavsnab.net/plenka-paroizolyacionnaya-izospan-b-1-6h43-75-m.html,2600.0000,18594
Клей для плитки Unis Плюс 25 кг,https://glavsnab.net/kley-dlya-plitki-yunis-plyus-25-kg.html,499.0000,25967
Дюбель-гвоздь 6х40 мм с грибовидным бортиком,https://glavsnab.net/djubel-gvozd-6-40-200-sht-bort.html,211.0000,17253
Клей гипсовый монтажный Кнауф Перлфикс 30 кг,https://glavsnab.net/kley-gipsovyy-montazhnyy-knauf-perlfiks-30-kg.html,530.0000,25994
Клейкая лента металлизированная Изоспан FL 5х5000 см,https://glavsnab.net/kleykaya-lenta-metallizirovannaya-izospan-fl-5h5000-sm.html,257.0000,18603
Мешок плетеный для ремонтных работ,https://glavsnab.net/meshki-pletenye-dlja-remontnyh-rabot-zelenye.html,15.0000,38504
Мастика влагостойкая Knauf Флэхендихт 5 кг,https://glavsnab.net/mastika-vlagostoykaya-knauf-flehendiht-5-kg.html,1930.0000,37262
Профиль маячковый 10 мм 3000 мм,https://glavsnab.net/profil-mayachkovyy-10-mm-3000-mm.html,54.0000,51379
Соединитель одноуровневый Knauf для ПП-профилей 60х27 148x56x20 мм,https://glavsnab.net/soedinitel-odnourovneviy-knauf-dlya-pp-profiley-60h27-148x56x20-mm.html,36.0000,105382
Звукоизоляционная лента Вибростек-М 30000х100х4 мм,https://glavsnab.net/vibrostek-m-lentochnaya-zvukoizolyatsionnaya-prokladka.html,2342.0000,73583
Штукатурка гипсовая универсальная Knauf Ротбанд серая 30 кг,https://glavsnab.net/shtukaturka-gipsovaya-universalnaya-knauf-rotband-seraya-30-kg.html,525.0000,69103
Профиль потолочный Knauf ПП 60х27 мм 3000 мм,https://glavsnab.net/profil-potolochnyy-knauf-pp-60kh27-mm-3000-mm.html,273.0000,51422
"Гипсокартон ГКЛ Knauf ГСП-Н2 влагостойкий 2500х1200х12,5 мм",https://glavsnab.net/gipsokarton-gkl-knauf-vlagostoykiy-2500h1200h12-5-mm.html,488.0000,129723
"Саморез по металлу 3,5х25 мм для гипсокартона 1000 шт",https://glavsnab.net/samorezy-gm-3-5-25-1000-sht.html,255.0000,55026
Шпатлевка универсальная Danogips (Sheetrock/Шитрок) SuperFinish 17 л,https://glavsnab.net/shpatlevka-universalnaya-danogips-sheetrock-superfinish-17-l.html,2300.0000,68836
Профиль направляющий Knauf ПН-2 50х40 мм 3000 мм,https://glavsnab.net/profil-pn-2-50-40-3-m-tigi-knauf-8sht-20-up.html,349.0000,51394
"Гипсокартон ГКЛ Knauf ГСП-А 2500х1200х12,5 мм",https://glavsnab.net/gipsokarton-gkl-knauf-2500h1200h12-5-mm.html,371.0000,129727
Профиль маячковый 6 мм 3000 мм,https://glavsnab.net/profil-mayachkovyy-6-mm-3000-mm.html,42.0000,51377
Профиль стоечный Knauf ПС-2 50х50 мм 3000 мм,https://glavsnab.net/profil-stoechniy-knauf-ps-2-50h50-mm-3000-mm.html,340.0000,51461
"Гипсокартон ГКЛ Knauf ГСП-Н2 влагостойкий 2500х1200х9,5 мм",https://glavsnab.net/gipsokarton-gkl-knauf-vlagostoykiy-2500h1200h9-5-mm.html,482.0000,129726
"Пленка пароизоляционная Изоспан B 1,6х43,75 м",https://glavsnab.net/plenka-paroizolyacionnaya-izospan-b-1-6h43-75-m.html,2600.0000,18594
Клей для плитки Unis Плюс 25 кг,https://glavsnab.net/kley-dlya-plitki-yunis-plyus-25-kg.html,499.0000,25967
Дюбель-гвоздь 6х40 мм с грибовидным бортиком,https://glavsnab.net/djubel-gvozd-6-40-200-sht-bort.html,211.0000,17253
Клей гипсовый монтажный Кнауф Перлфикс 30 кг,https://glavsnab.net/kley-gipsovyy-montazhnyy-knauf-perlfiks-30-kg.html,530.0000,25994
Клейкая лента металлизированная Изоспан FL 5х5000 см,https://glavsnab.net/kleykaya-lenta-metallizirovannaya-izospan-fl-5h5000-sm.html,257.0000,18603
Мешок плетеный для ремонтных работ,https://glavsnab.net/meshki-pletenye-dlja-remontnyh-rabot-zelenye.html,15.0000,38504
Мастика влагостойкая Knauf Флэхендихт 5 кг,https://glavsnab.net/mastika-vlagostoykaya-knauf-flehendiht-5-kg.html,1930.0000,37262
Профиль маячковый 10 мм 3000 мм,https://glavsnab.net/profil-mayachkovyy-10-mm-3000-mm.html,54.0000,51379
Соединитель одноуровневый Knauf для ПП-профилей 60х27 148x56x20 мм,https://glavsnab.net/soedinitel-odnourovneviy-knauf-dlya-pp-profiley-60h27-148x56x20-mm.html,36.0000,105382
Звукоизоляционная лента Вибростек-М 30000х100х4 мм,https://glavsnab.net/vibrostek-m-lentochnaya-zvukoizolyatsionnaya-prokladka.html,2342.0000,73583
Штукатурка гипсовая универсальная Knauf Ротбанд серая 30 кг,https://glavsnab.net/shtukaturka-gipsovaya-universalnaya-knauf-rotband-seraya-30-kg.html,525.0000,69103
Профиль потолочный Knauf ПП 60х27 мм 3000 мм,https://glavsnab.net/profil-potolochnyy-knauf-pp-60kh27-mm-3000-mm.html,273.0000,51422
"Гипсокартон ГКЛ Knauf ГСП-Н2 влагостойкий 2500х1200х12,5 мм",https://glavsnab.net/gipsokarton-gkl-knauf-vlagostoykiy-2500h1200h12-5-mm.html,488.0000,129723
"Саморез по металлу 3,5х25 мм для гипсокартона 1000 шт",https://glavsnab.net/samorezy-gm-3-5-25-1000-sht.html,255.0000,55026
Шпатлевка универсальная Danogips (Sheetrock/Шитрок) SuperFinish 17 л,https://glavsnab.net/shpatlevka-universalnaya-danogips-sheetrock-superfinish-17-l.html,2300.0000,68836
Профиль направляющий Knauf ПН-2 50х40 мм 3000 мм,https://glavsnab.net/profil-pn-2-50-40-3-m-tigi-knauf-8sht-20-up.html,349.0000,51394
"Гипсокартон ГКЛ Knauf ГСП-А 2500х1200х12,5 мм",https://glavsnab.net/gipsokarton-gkl-knauf-2500h1200h12-5-mm.html,371.0000,129727
Профиль маячковый 6 мм 3000 мм,https://glavsnab.net/profil-mayachkovyy-6-mm-3000-mm.html,42.0000,51377
Профиль стоечный Knauf ПС-2 50х50 мм 3000 мм,https://glavsnab.net/profil-stoechniy-knauf-ps-2-50h50-mm-3000-mm.html,340.0000,51461
"Гипсокартон ГКЛ Knauf ГСП-Н2 влагостойкий 2500х1200х9,5 мм",https://glavsnab.net/gipsokarton-gkl-knauf-vlagostoykiy-2500h1200h9-5-mm.html,482.0000,129726
"Пленка пароизоляционная Изоспан B 1,6х43,75 м",https://glavsnab.net/plenka-paroizolyacionnaya-izospan-b-1-6h43-75-m.html,2600.0000,18594
Клей для плитки Unis Плюс 25 кг,https://glavsnab.net/kley-dlya-plitki-yunis-plyus-25-kg.html,499.0000,25967
Дюбель-гвоздь 6х40 мм с грибовидным бортиком,https://glavsnab.net/djubel-gvozd-6-40-200-sht-bort.html,211.0000,17253
Клей гипсовый монтажный Кнауф Перлфикс 30 кг,https://glavsnab.net/kley-gipsovyy-montazhnyy-knauf-perlfiks-30-kg.html,530.0000,25994
Клейкая лента металлизированная Изоспан FL 5х5000 см,https://glavsnab.net/kleykaya-lenta-metallizirovannaya-izospan-fl-5h5000-sm.html,257.0000,18603
Мешок плетеный для ремонтных работ,https://glavsnab.net/meshki-pletenye-dlja-remontnyh-rabot-zelenye.html,15.0000,38504
Мастика влагостойкая Knauf Флэхендихт 5 кг,https://glavsnab.net/mastika-vlagostoykaya-knauf-flehendiht-5-kg.html,1930.0000,37262
Профиль маячковый 10 мм 3000 мм,https://glavsnab.net/profil-mayachkovyy-10-mm-3000-mm.html,54.0000,51379
Соединитель одноуровневый Knauf для ПП-профилей 60х27 148x56x20 мм,https://glavsnab.net/soedinitel-odnourovneviy-knauf-dlya-pp-profiley-60h27-148x56x20-mm.html,36.0000,105382
Звукоизоляционная лента Вибростек-М 30000х100х4 мм,https://glavsnab.net/vibrostek-m-lentochnaya-zvukoizolyatsionnaya-prokladka.html,2342.0000,73583
Штукатурка гипсовая универсальная Knauf Ротбанд серая 30 кг,https://glavsnab.net/shtukaturka-gipsovaya-universalnaya-knauf-rotband-seraya-30-kg.html,525.0000,69103
Профиль потолочный Knauf ПП 60х27 мм 3000 мм,https://glavsnab.net/profil-potolochnyy-knauf-pp-60kh27-mm-3000-mm.html,273.0000,51422
"Гипсокартон ГКЛ Knauf ГСП-Н2 влагостойкий 2500х1200х12,5 мм",https://glavsnab.net/gipsokarton-gkl-knauf-vlagostoykiy-2500h1200h12-5-mm.html,488.0000,129723
"Саморез по металлу 3,5х25 мм для гипсокартона 1000 шт",https://glavsnab.net/samorezy-gm-3-5-25-1000-sht.html,255.0000,55026
Шпатлевка универсальная Danogips (Sheetrock/Шитрок) SuperFinish 17 л,https://glavsnab.net/shpatlevka-universalnaya-danogips-sheetrock-superfinish-17-l.html,2300.0000,68836
Профиль направляющий Knauf ПН-2 50х40 мм 3000 мм,https://glavsnab.net/profil-pn-2-50-40-3-m-tigi-knauf-8sht-20-up.html,349.0000,51394
"Гипсокартон ГКЛ Knauf ГСП-А 2500х1200х12,5 мм",https://glavsnab.net/gipsokarton-gkl-knauf-2500h1200h12-5-mm.html,371.0000,129727
Профиль маячковый 6 мм 3000 мм,https://glavsnab.net/profil-mayachkovyy-6-mm-3000-mm.html,42.0000,51377
Профиль стоечный Knauf ПС-2 50х50 мм 3000 мм,https://glavsnab.net/profil-stoechniy-knauf-ps-2-50h50-mm-3000-mm.html,340.0000,51461
"Гипсокартон ГКЛ Knauf ГСП-Н2 влагостойкий 2500х1200х9,5 мм",https://glavsnab.net/gipsokarton-gkl-knauf-vlagostoykiy-2500h1200h9-5-mm.html,482.0000,129726
"Пленка пароизоляционная Изоспан B 1,6х43,75 м",https://glavsnab.net/plenka-paroizolyacionnaya-izospan-b-1-6h43-75-m.html,2600.0000,18594
Клей для плитки Unis Плюс 25 кг,https://glavsnab.net/kley-dlya-plitki-yunis-plyus-25-kg.html,499.0000,25967
Дюбель-гвоздь 6х40 мм с грибовидным бортиком,https://glavsnab.net/djubel-gvozd-6-40-200-sht-bort.html,211.0000,17253
Клей гипсовый монтажный Кнауф Перлфикс 30 кг,https://glavsnab.net/kley-gipsovyy-montazhnyy-knauf-perlfiks-30-kg.html,530.0000,25994
Клейкая лента металлизированная Изоспан FL 5х5000 см,https://glavsnab.net/kleykaya-lenta-metallizirovannaya-izospan-fl-5h5000-sm.html,257.0000,18603
Мешок плетеный для ремонтных работ,https://glavsnab.net/meshki-pletenye-dlja-remontnyh-rabot-zelenye.html,15.0000,38504
Мастика влагостойкая Knauf Флэхендихт 5 кг,https://glavsnab.net/mastika-vlagostoykaya-knauf-flehendiht-5-kg.html,1930.0000,37262
Профиль маячковый 10 мм 3000 мм,https://glavsnab.net/profil-mayachkovyy-10-mm-3000-mm.html,54.0000,51379
Соединитель одноуровневый Knauf для ПП-профилей 60х27 148x56x20 мм,https://glavsnab.net/soedinitel-odnourovneviy-knauf-dlya-pp-profiley-60h27-148x56x20-mm.html,36.0000,105382
Звукоизоляционная лента Вибростек-М 30000х100х4 мм,https://glavsnab.net/vibrostek-m-lentochnaya-zvukoizolyatsionnaya-prokladka.html,2342.0000,73583
Штукатурка гипсовая универсальная Knauf Ротбанд серая 30 кг,https://glavsnab.net/shtukaturka-gipsovaya-universalnaya-knauf-rotband-seraya-30-kg.html,525.0000,69103
Профиль потолочный Knauf ПП 60х27 мм 3000 мм,https://glavsnab.net/profil-potolochnyy-knauf-pp-60kh27-mm-3000-mm.html,273.0000,51422
"Гипсокартон ГКЛ Knauf ГСП-Н2 влагостойкий 2500х1200х12,5 мм",https://glavsnab.net/gipsokarton-gkl-knauf-vlagostoykiy-2500h1200h12-5-mm.html,488.0000,129723
"Саморез по металлу 3,5х25 мм для гипсокартона 1000 шт",https://glavsnab.net/samorezy-gm-3-5-25-1000-sht.html,255.0000,55026
Шпатлевка универсальная Danogips (Sheetrock/Шитрок) SuperFinish 17 л,https://glavsnab.net/shpatlevka-universalnaya-danogips-sheetrock-superfinish-17-l.html,2300.0000,68836
Профиль направляющий Knauf ПН-2 50х40 мм 3000 мм,https://glavsnab.net/profil-pn-2-50-40-3-m-tigi-knauf-8sht-20-up.html,349.0000,51394
"Гипсокартон ГКЛ Knauf ГСП-А 2500х1200х12,5 мм",https://glavsnab.net/gipsokarton-gkl-knauf-2500h1200h12-5-mm.html,371.0000,129727
Профиль маячковый 6 мм 3000 мм,https://glavsnab.net/profil-mayachkovyy-6-mm-3000-mm.html,42.0000,51377
Профиль стоечный Knauf ПС-2 50х50 мм 3000 мм,https://glavsnab.net/profil-stoechniy-knauf-ps-2-50h50-mm-3000-mm.html,340.0000,51461
"Гипсокартон ГКЛ Knauf ГСП-Н2 влагостойкий 2500х1200х9,5 мм",https://glavsnab.net/gipsokarton-gkl-knauf-vlagostoykiy-2500h1200h9-5-mm.html,482.0000,129726
"Пленка пароизоляционная Изоспан B 1,6х43,75 м",https://glavsnab.net/plenka-paroizolyacionnaya-izospan-b-1-6h43-75-m.html,2600.0000,18594
Клей для плитки Unis Плюс 25 кг,https://glavsnab.net/kley-dlya-plitki-yunis-plyus-25-kg.html,499.0000,25967
